BOUT_UID,EVENT,BOUT,FIGHTER_2,FIGHTER_1,CTRL_mean,CTRL against_mean,OUTCOME
6364,UFC Live: Vera vs Jones,Eric Schafer vs. Jason Brilz,Jason Brilz,Eric Schafer,-327.0,327.0,0
6363,UFC Live: Vera vs Jones,Mike Pierce vs. Julio Paulino,Julio Paulino,Mike Pierce,694.0,-694.0,1
6362,UFC Live: Vera vs Jones,Brendan Schaub vs. Chase Gormley,Chase Gormley,Brendan Schaub,3.0,-3.0,1
6361,UFC Live: Vera vs Jones,John Howard vs. Daniel Roberts,Daniel Roberts,John Howard,-6.0,6.0,1
6360,UFC Live: Vera vs Jones,Duane Ludwig vs. Darren Elkins,Darren Elkins,Duane Ludwig,-7.0,7.0,0
6359,UFC Live: Vera vs Jones,Eliot Marshall vs. Vladimir Matyushenko,Vladimir Matyushenko,Eliot Marshall,-87.0,87.0,0
6358,UFC Live: Vera vs Jones,Clay Guida vs. Shannon Gugerty,Shannon Gugerty,Clay Guida,446.0,-446.0,1
6357,UFC Live: Vera vs Jones,Alessio Sakara vs. James Irvin,James Irvin,Alessio Sakara,1.0,-1.0,1
6356,UFC Live: Vera vs Jones,Cheick Kongo vs. Paul Buentello,Paul Buentello,Cheick Kongo,507.0,-507.0,1
6355,UFC Live: Vera vs Jones,Junior Dos Santos vs. Gabriel Gonzaga,Gabriel Gonzaga,Junior Dos Santos,8.0,-8.0,1
6354,UFC Live: Vera vs Jones,Brandon Vera vs. Jon Jones,Jon Jones,Brandon Vera,-163.0,163.0,0
6353,UFC 111: St-Pierre vs Hardy,Matthew Riddle vs. Greg Soto,Greg Soto,Matthew Riddle,415.0,-415.0,1
6352,UFC 111: St-Pierre vs Hardy,Rodney Wallace vs. Jared Hamman,Jared Hamman,Rodney Wallace,-109.0,109.0,0
6351,UFC 111: St-Pierre vs Hardy,Rousimar Palhares vs. Tomasz Drwal,Tomasz Drwal,Rousimar Palhares,7.0,-7.0,1
6350,UFC 111: St-Pierre vs Hardy,Ricardo Almeida vs. Matt Brown,Matt Brown,Ricardo Almeida,410.0,-410.0,1
6349,UFC 111: St-Pierre vs Hardy,Nate Diaz vs. Rory Markham,Rory Markham,Nate Diaz,74.0,-74.0,1
6348,UFC 111: St-Pierre vs Hardy,Jim Miller vs. Mark Bocek,Mark Bocek,Jim Miller,-494.0,494.0,1
6347,UFC 111: St-Pierre vs Hardy,Ben Saunders vs. Jon Fitch,Jon Fitch,Ben Saunders,-690.0,690.0,0
6346,UFC 111: St-Pierre vs Hardy,Kurt Pellegrino vs. Fabricio Camoes,Fabricio Camoes,Kurt Pellegrino,307.0,-307.0,1
6345,UFC 111: St-Pierre vs Hardy,Frank Mir vs. Shane Carwin,Shane Carwin,Frank Mir,-150.0,150.0,0
6344,UFC 111: St-Pierre vs Hardy,Georges St-Pierre vs. Dan Hardy,Dan Hardy,Georges St-Pierre,1197.0,-1197.0,1
6343,UFC Fight Night: Florian vs Gomi,Charlie Brenneman vs. Jason High,Jason High,Charlie Brenneman,365.0,-365.0,1
6342,UFC Fight Night: Florian vs Gomi,Gerald Harris vs. Mario Miranda,Mario Miranda,Gerald Harris,-33.0,33.0,1
6341,UFC Fight Night: Florian vs Gomi,Yushin Okami vs. Lucio Linhares,Lucio Linhares,Yushin Okami,151.0,-151.0,1
6340,UFC Fight Night: Florian vs Gomi,Caol Uno vs. Gleison Tibau,Gleison Tibau,Caol Uno,-89.0,89.0,0
6339,UFC Fight Night: Florian vs Gomi,Rob Emerson vs. Nik Lentz,Nik Lentz,Rob Emerson,-514.0,514.0,0
6338,UFC Fight Night: Florian vs Gomi,Jacob Volkmann vs. Ronys Torres,Ronys Torres,Jacob Volkmann,414.0,-414.0,1
6337,UFC Fight Night: Florian vs Gomi,Andre Winner vs. Rafaello Oliveira,Rafaello Oliveira,Andre Winner,-55.0,55.0,1
6336,UFC Fight Night: Florian vs Gomi,Ross Pearson vs. Dennis Siver,Dennis Siver,Ross Pearson,-10.0,10.0,1
6335,UFC Fight Night: Florian vs Gomi,Nate Quarry vs. Jorge Rivera,Jorge Rivera,Nate Quarry,-89.0,89.0,0
6334,UFC Fight Night: Florian vs Gomi,Roy Nelson vs. Stefan Struve,Stefan Struve,Roy Nelson,8.0,-8.0,1
6333,UFC Fight Night: Florian vs Gomi,Kenny Florian vs. Takanori Gomi,Takanori Gomi,Kenny Florian,97.0,-97.0,1
6332,UFC 112: Invincible,Jon Madsen vs. Mostapha Al-Turk,Mostapha Al-Turk,Jon Madsen,6.0,-6.0,1
6331,UFC 112: Invincible,Paul Kelly vs. Matt Veach,Matt Veach,Paul Kelly,179.0,-179.0,1
6330,UFC 112: Invincible,DaMarques Johnson vs. Brad Blackburn,Brad Blackburn,DaMarques Johnson,-152.0,152.0,1
6329,UFC 112: Invincible,Nick Osipczak vs. Rick Story,Rick Story,Nick Osipczak,-448.0,448.0,0
6328,UFC 112: Invincible,Alexander Gustafsson vs. Phil Davis,Phil Davis,Alexander Gustafsson,-196.0,196.0,0
6327,UFC 112: Invincible,Kendall Grove vs. Mark Munoz,Mark Munoz,Kendall Grove,-115.0,115.0,0
6326,UFC 112: Invincible,Terry Etim vs. Rafael Dos Anjos,Rafael Dos Anjos,Terry Etim,-248.0,248.0,0
6325,UFC 112: Invincible,Matt Hughes vs. Renzo Gracie,Renzo Gracie,Matt Hughes,104.0,-104.0,1
6324,UFC 112: Invincible,BJ Penn vs. Frankie Edgar,Frankie Edgar,BJ Penn,-5.0,5.0,0
6323,UFC 112: Invincible,Anderson Silva vs. Demian Maia,Demian Maia,Anderson Silva,78.0,-78.0,1
6322,UFC 113: Machida vs Shogun 2,Jason MacDonald vs. John Salter,John Salter,Jason MacDonald,-72.0,72.0,0
6321,UFC 113: Machida vs Shogun 2,Yoshiyuki Yoshida vs. Mike Guymon,Mike Guymon,Yoshiyuki Yoshida,-138.0,138.0,0
6320,UFC 113: Machida vs Shogun 2,Joey Beltran vs. Tim Hague,Tim Hague,Joey Beltran,-139.0,139.0,1
6319,UFC 113: Machida vs Shogun 2,TJ Grant vs. Johny Hendricks,Johny Hendricks,TJ Grant,-387.0,387.0,0
6318,UFC 113: Machida vs Shogun 2,Marcus Davis vs. Jonathan Goulet,Jonathan Goulet,Marcus Davis,-165.0,165.0,1
6317,UFC 113: Machida vs Shogun 2,Tom Lawlor vs. Joe Doerksen,Joe Doerksen,Tom Lawlor,-7.0,7.0,0
6316,UFC 113: Machida vs Shogun 2,Patrick Cote vs. Alan Belcher,Alan Belcher,Patrick Cote,-48.0,48.0,0
6315,UFC 113: Machida vs Shogun 2,Kevin Ferguson vs. Matt Mitrione,Matt Mitrione,Kevin Ferguson,15.0,-15.0,0
6314,UFC 113: Machida vs Shogun 2,Sam Stout vs. Jeremy Stephens,Jeremy Stephens,Sam Stout,-24.0,24.0,0
6313,UFC 113: Machida vs Shogun 2,Josh Koscheck vs. Paul Daley,Paul Daley,Josh Koscheck,720.0,-720.0,1
6312,UFC 113: Machida vs Shogun 2,Lyoto Machida vs. Mauricio Rua,Mauricio Rua,Lyoto Machida,19.0,-19.0,0
6311,UFC 114: Rampage vs Evans,Jesse Forbes vs. Ryan Jensen,Ryan Jensen,Jesse Forbes,34.0,-34.0,0
6310,UFC 114: Rampage vs Evans,Aaron Riley vs. Joe Brammer,Joe Brammer,Aaron Riley,273.0,-273.0,1
6309,UFC 114: Rampage vs Evans,Luiz Cane vs. Cyrille Diabate,Cyrille Diabate,Luiz Cane,55.0,-55.0,0
6308,UFC 114: Rampage vs Evans,Melvin Guillard vs. Waylon Lowe,Waylon Lowe,Melvin Guillard,-85.0,85.0,1
6307,UFC 114: Rampage vs Evans,Efrain Escudero vs. Dan Lauzon,Dan Lauzon,Efrain Escudero,49.0,-49.0,1
6306,UFC 114: Rampage vs Evans,Amir Sadollah vs. Dong Hyun Kim,Dong Hyun Kim,Amir Sadollah,-734.0,734.0,0
6305,UFC 114: Rampage vs Evans,Diego Sanchez vs. John Hathaway,John Hathaway,Diego Sanchez,-109.0,109.0,0
6304,UFC 114: Rampage vs Evans,Jason Brilz vs. Rogerio Nogueira,Rogerio Nogueira,Jason Brilz,259.0,-192.0,0
6303,UFC 114: Rampage vs Evans,Todd Duffee vs. Mike Russow,Mike Russow,Todd Duffee,-2.0,2.0,0
6302,UFC 114: Rampage vs Evans,Michael Bisping vs. Dan Miller,Dan Miller,Michael Bisping,-45.0,45.0,1
6301,UFC 114: Rampage vs Evans,Quinton Jackson vs. Rashad Evans,Rashad Evans,Quinton Jackson,-406.0,406.0,0
6300,UFC 115: Liddell vs Franklin,Mike Pyle vs. Jesse Lennox,Jesse Lennox,Mike Pyle,33.0,-33.0,1
6299,UFC 115: Liddell vs Franklin,Ricardo Funch vs. Claude Patrick,Claude Patrick,Ricardo Funch,-177.0,177.0,0
6298,UFC 115: Liddell vs Franklin,James Wilks vs. Peter Sobotta,Peter Sobotta,James Wilks,-289.0,289.0,1
6297,UFC 115: Liddell vs Franklin,David Loiseau vs. Mario Miranda,Mario Miranda,David Loiseau,0.0,434.0,0
6296,UFC 115: Liddell vs Franklin,Mac Danzig vs. Matt Wiman,Matt Wiman,Mac Danzig,33.0,-33.0,0
6295,UFC 115: Liddell vs Franklin,Tyson Griffin vs. Evan Dunham,Evan Dunham,Tyson Griffin,-517.0,517.0,0
6294,UFC 115: Liddell vs Franklin,Carlos Condit vs. Rory MacDonald,Rory MacDonald,Carlos Condit,19.0,-19.0,1
6293,UFC 115: Liddell vs Franklin,Ben Rothwell vs. Gilbert Yvel,Gilbert Yvel,Ben Rothwell,640.0,-640.0,1
6292,UFC 115: Liddell vs Franklin,Paulo Thiago vs. Martin Kampmann,Martin Kampmann,Paulo Thiago,-326.0,326.0,0
6291,UFC 115: Liddell vs Franklin,Mirko Filipovic vs. Pat Barry,Pat Barry,Mirko Filipovic,263.0,-263.0,1
6290,UFC 115: Liddell vs Franklin,Chuck Liddell vs. Rich Franklin,Rich Franklin,Chuck Liddell,24.0,-24.0,0
6289,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,James McSweeney vs. Travis Browne,Travis Browne,James McSweeney,-141.0,141.0,0
6288,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Chris Camozzi vs. James Hammortree,James Hammortree,Chris Camozzi,81.0,-81.0,1
6287,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Josh Bryant vs. Kyle Noke,Kyle Noke,Josh Bryant,-5.0,5.0,0
6286,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Brad Tavares vs. Seth Baczynski,Seth Baczynski,Brad Tavares,587.0,-587.0,1
6285,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,John Gunderson vs. Mark Holst,Mark Holst,John Gunderson,694.0,-694.0,1
6284,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Jamie Yager vs. Rich Attonito,Rich Attonito,Jamie Yager,-116.0,116.0,0
6283,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Spencer Fisher vs. Dennis Siver,Dennis Siver,Spencer Fisher,-70.0,-59.0,0
6282,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Chris Leben vs. Aaron Simpson,Aaron Simpson,Chris Leben,-180.0,180.0,1
6281,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Keith Jardine vs. Matt Hamill,Matt Hamill,Keith Jardine,-91.0,91.0,0
6280,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Court McGee vs. Kris McCray,Kris McCray,Court McGee,324.0,-324.0,1
6279,UFC 116: Lesnar vs Carwin,Jon Madsen vs. Karlos Vemola,Karlos Vemola,Jon Madsen,-5.0,-589.0,1
6278,UFC 116: Lesnar vs Carwin,Forrest Petz vs. Daniel Roberts,Daniel Roberts,Forrest Petz,1.0,384.0,0
6277,UFC 116: Lesnar vs Carwin,Gerald Harris vs. David Branch,David Branch,Gerald Harris,-81.0,-248.0,1
6276,UFC 116: Lesnar vs Carwin,Kendall Grove vs. Goran Reljic,Goran Reljic,Kendall Grove,-297.0,195.0,1
6275,UFC 116: Lesnar vs Carwin,Seth Petruzelli vs. Ricardo Romero,Ricardo Romero,Seth Petruzelli,-168.0,168.0,0
6274,UFC 116: Lesnar vs Carwin,Brendan Schaub vs. Chris Tuchscherer,Chris Tuchscherer,Brendan Schaub,3.0,-7.0,1
6273,UFC 116: Lesnar vs Carwin,George Sotiropoulos vs. Kurt Pellegrino,Kurt Pellegrino,George Sotiropoulos,-120.0,92.0,1
6272,UFC 116: Lesnar vs Carwin,Krzysztof Soszynski vs. Stephan Bonnar,Stephan Bonnar,Krzysztof Soszynski,-127.0,127.0,0
6271,UFC 116: Lesnar vs Carwin,Chris Lytle vs. Matt Brown,Matt Brown,Chris Lytle,130.0,-325.0,1
6270,UFC 116: Lesnar vs Carwin,Chris Leben vs. Yoshihiro Akiyama,Yoshihiro Akiyama,Chris Leben,-469.0,201.0,1
6269,UFC 116: Lesnar vs Carwin,Brock Lesnar vs. Shane Carwin,Shane Carwin,Brock Lesnar,1.0,160.0,1
6268,UFC Live: Jones vs Matyushenko,Rob Kimmons vs. Steve Steinbeiss,Steve Steinbeiss,Rob Kimmons,106.0,-106.0,1
6267,UFC Live: Jones vs Matyushenko,Darren Elkins vs. Charles Oliveira,Charles Oliveira,Darren Elkins,10.0,-24.0,0
6266,UFC Live: Jones vs Matyushenko,Brian Stann vs. Mike Massenzio,Mike Massenzio,Brian Stann,-40.0,40.0,1
6265,UFC Live: Jones vs Matyushenko,James Irvin vs. Igor Pokrajac,Igor Pokrajac,James Irvin,-62.0,-65.0,0
6264,UFC Live: Jones vs Matyushenko,DaMarques Johnson vs. Matthew Riddle,Matthew Riddle,DaMarques Johnson,-417.0,150.0,0
6263,UFC Live: Jones vs Matyushenko,Paul Kelly vs. Jacob Volkmann,Jacob Volkmann,Paul Kelly,-276.0,-41.0,0
6262,UFC Live: Jones vs Matyushenko,Tyson Griffin vs. Takanori Gomi,Takanori Gomi,Tyson Griffin,10.0,430.0,0
6261,UFC Live: Jones vs Matyushenko,John Howard vs. Jake Ellenberger,Jake Ellenberger,John Howard,-495.0,45.0,0
6260,UFC Live: Jones vs Matyushenko,Mark Munoz vs. Yushin Okami,Yushin Okami,Mark Munoz,71.0,107.0,0
6259,UFC Live: Jones vs Matyushenko,Jon Jones vs. Vladimir Matyushenko,Vladimir Matyushenko,Jon Jones,76.0,0.0,1
6258,UFC 117: Silva vs Sonnen,Ben Saunders vs. Dennis Hallman,Dennis Hallman,Ben Saunders,-666.0,733.0,0
6257,UFC 117: Silva vs Sonnen,Stefan Struve vs. Christian Morecraft,Christian Morecraft,Stefan Struve,-285.0,0.0,1
6256,UFC 117: Silva vs Sonnen,Todd Brown vs. Tim Boetsch,Tim Boetsch,Todd Brown,-93.0,93.0,0
6255,UFC 117: Silva vs Sonnen,Johny Hendricks vs. Charlie Brenneman,Charlie Brenneman,Johny Hendricks,-132.0,-154.0,1
6254,UFC 117: Silva vs Sonnen,Rodney Wallace vs. Phil Davis,Phil Davis,Rodney Wallace,97.0,402.0,0
6253,UFC 117: Silva vs Sonnen,Dustin Hazelett vs. Rick Story,Rick Story,Dustin Hazelett,-595.0,161.0,0
6252,UFC 117: Silva vs Sonnen,Roy Nelson vs. Junior Dos Santos,Junior Dos Santos,Roy Nelson,-1.0,-1.0,0
6251,UFC 117: Silva vs Sonnen,Matt Hughes vs. Ricardo Almeida,Ricardo Almeida,Matt Hughes,-322.0,-16.0,1
6250,UFC 117: Silva vs Sonnen,Clay Guida vs. Rafael Dos Anjos,Rafael Dos Anjos,Clay Guida,111.0,-87.0,1
6249,UFC 117: Silva vs Sonnen,Jon Fitch vs. Thiago Alves,Thiago Alves,Jon Fitch,612.0,-444.0,1
6248,UFC 117: Silva vs Sonnen,Anderson Silva vs. Chael Sonnen,Chael Sonnen,Anderson Silva,-1111.0,-25.0,1
6247,UFC 118: Edgar vs Penn 2,Mike Pierce vs. Amilcar Alves,Amilcar Alves,Mike Pierce,694.0,-719.0,1
6246,UFC 118: Edgar vs Penn 2,Nick Osipczak vs. Greg Soto,Greg Soto,Nick Osipczak,106.0,139.0,0
6245,UFC 118: Edgar vs Penn 2,Dan Miller vs. John Salter,John Salter,Dan Miller,-27.0,0.0,1
6244,UFC 118: Edgar vs Penn 2,Andre Winner vs. Nik Lentz,Nik Lentz,Andre Winner,-491.0,78.0,0
6243,UFC 118: Edgar vs Penn 2,Joe Lauzon vs. Gabe Ruediger,Gabe Ruediger,Joe Lauzon,93.0,-93.0,1
6242,UFC 118: Edgar vs Penn 2,Nate Diaz vs. Marcus Davis,Marcus Davis,Nate Diaz,28.0,-211.0,1
6241,UFC 118: Edgar vs Penn 2,Kenny Florian vs. Gray Maynard,Gray Maynard,Kenny Florian,-294.0,8.0,0
6240,UFC 118: Edgar vs Penn 2,Demian Maia vs. Mario Miranda,Mario Miranda,Demian Maia,-236.5,58.5,1
6239,UFC 118: Edgar vs Penn 2,Randy Couture vs. James Toney,James Toney,Randy Couture,182.0,-182.0,1
6238,UFC 118: Edgar vs Penn 2,Frankie Edgar vs. BJ Penn,BJ Penn,Frankie Edgar,5.0,-5.0,1
6237,UFC Fight Night: Marquardt vs Palhares,Brian Foster vs. Forrest Petz,Forrest Petz,Brian Foster,-46.0,-433.0,1
6236,UFC Fight Night: Marquardt vs Palhares,TJ Waldburger vs. David Mitchell,David Mitchell,TJ Waldburger,557.0,-557.0,1
6235,UFC Fight Night: Marquardt vs Palhares,Rich Attonito vs. Rafael Natal,Rafael Natal,Rich Attonito,20.0,-195.0,1
6234,UFC Fight Night: Marquardt vs Palhares,Tomasz Drwal vs. David Branch,David Branch,Tomasz Drwal,-88.0,-281.0,0
6233,UFC Fight Night: Marquardt vs Palhares,Jared Hamman vs. Kyle Kingsbury,Kyle Kingsbury,Jared Hamman,143.0,303.0,0
6232,UFC Fight Night: Marquardt vs Palhares,Yves Edwards vs. John Gunderson,John Gunderson,Yves Edwards,-267.0,-7.0,1
6231,UFC Fight Night: Marquardt vs Palhares,Cole Miller vs. Ross Pearson,Ross Pearson,Cole Miller,-21.0,-50.0,1
6230,UFC Fight Night: Marquardt vs Palhares,Jim Miller vs. Gleison Tibau,Gleison Tibau,Jim Miller,8.0,591.0,1
6229,UFC Fight Night: Marquardt vs Palhares,Efrain Escudero vs. Charles Oliveira,Charles Oliveira,Efrain Escudero,94.0,18.0,0
6228,UFC Fight Night: Marquardt vs Palhares,Nate Marquardt vs. Rousimar Palhares,Rousimar Palhares,Nate Marquardt,10.0,27.0,1
6227,UFC 119: Mir vs Cro Cop,Mark Hunt vs. Sean McCorkle,Sean McCorkle,Mark Hunt,34.0,-34.0,0
6226,UFC 119: Mir vs Cro Cop,TJ Grant vs. Julio Paulino,Julio Paulino,TJ Grant,9.0,-298.0,1
6225,UFC 119: Mir vs Cro Cop,Steve Lopez vs. Waylon Lowe,Waylon Lowe,Steve Lopez,-87.0,410.0,0
6224,UFC 119: Mir vs Cro Cop,Thiago Tavares vs. Pat Audinwood,Pat Audinwood,Thiago Tavares,173.0,-173.0,1
6223,UFC 119: Mir vs Cro Cop,Matt Mitrione vs. Joey Beltran,Joey Beltran,Matt Mitrione,178.0,54.0,1
6222,UFC 119: Mir vs Cro Cop,CB Dollaway vs. Joe Doerksen,Joe Doerksen,CB Dollaway,-23.0,73.0,1
6221,UFC 119: Mir vs Cro Cop,Melvin Guillard vs. Jeremy Stephens,Jeremy Stephens,Melvin Guillard,-70.0,39.0,1
6220,UFC 119: Mir vs Cro Cop,Sean Sherk vs. Evan Dunham,Evan Dunham,Sean Sherk,-45.0,16.0,1
6219,UFC 119: Mir vs Cro Cop,Matt Serra vs. Chris Lytle,Chris Lytle,Matt Serra,-146.0,-101.0,0
6218,UFC 119: Mir vs Cro Cop,Rogerio Nogueira vs. Ryan Bader,Ryan Bader,Rogerio Nogueira,-50.0,291.0,0
6217,UFC 119: Mir vs Cro Cop,Frank Mir vs. Mirko Filipovic,Mirko Filipovic,Frank Mir,-264.0,149.0,1
6216,UFC 120: Bisping vs Akiyama,James McSweeney vs. Fabio Maldonado,Fabio Maldonado,James McSweeney,-204.0,70.0,0
6215,UFC 120: Bisping vs Akiyama,Spencer Fisher vs. Curt Warburton,Curt Warburton,Spencer Fisher,-461.0,-125.0,1
6214,UFC 120: Bisping vs Akiyama,Paul Sass vs. Mark Holst,Mark Holst,Paul Sass,-56.0,-552.0,1
6213,UFC 120: Bisping vs Akiyama,Rob Broughton vs. Vinicius Queiroz,Vinicius Queiroz,Rob Broughton,-214.0,214.0,1
6212,UFC 120: Bisping vs Akiyama,Cyrille Diabate vs. Alexander Gustafsson,Alexander Gustafsson,Cyrille Diabate,-15.0,-156.0,0
6211,UFC 120: Bisping vs Akiyama,James Wilks vs. Claude Patrick,Claude Patrick,James Wilks,-78.0,388.0,0
6210,UFC 120: Bisping vs Akiyama,Cheick Kongo vs. Travis Browne,Travis Browne,Cheick Kongo,366.0,0.0,0
6209,UFC 120: Bisping vs Akiyama,John Hathaway vs. Mike Pyle,Mike Pyle,John Hathaway,65.0,-11.0,0
6208,UFC 120: Bisping vs Akiyama,Dan Hardy vs. Carlos Condit,Carlos Condit,Dan Hardy,-210.0,1006.0,0
6207,UFC 120: Bisping vs Akiyama,Michael Bisping vs. Yoshihiro Akiyama,Yoshihiro Akiyama,Michael Bisping,-513.0,22.0,1
6206,UFC 121: Lesnar vs Velasquez,Jon Madsen vs. Gilbert Yvel,Gilbert Yvel,Jon Madsen,201.5,-730.5,1
6205,UFC 121: Lesnar vs Velasquez,Chris Camozzi vs. Dongi Yang,Dongi Yang,Chris Camozzi,97.0,106.0,1
6204,UFC 121: Lesnar vs Velasquez,Sam Stout vs. Paul Taylor,Paul Taylor,Sam Stout,48.0,45.0,1
6203,UFC 121: Lesnar vs Velasquez,Mike Guymon vs. Daniel Roberts,Daniel Roberts,Mike Guymon,195.0,248.5,0
6202,UFC 121: Lesnar vs Velasquez,Patrick Cote vs. Tom Lawlor,Tom Lawlor,Patrick Cote,75.0,116.0,0
6201,UFC 121: Lesnar vs Velasquez,Court McGee vs. Ryan Jensen,Ryan Jensen,Court McGee,323.0,-35.0,1
6200,UFC 121: Lesnar vs Velasquez,Brendan Schaub vs. Gabriel Gonzaga,Gabriel Gonzaga,Brendan Schaub,4.0,-9.0,1
6199,UFC 121: Lesnar vs Velasquez,Tito Ortiz vs. Matt Hamill,Matt Hamill,Tito Ortiz,-91.0,232.0,0
6198,UFC 121: Lesnar vs Velasquez,Diego Sanchez vs. Paulo Thiago,Paulo Thiago,Diego Sanchez,32.0,-185.0,1
6197,UFC 121: Lesnar vs Velasquez,Jake Shields vs. Martin Kampmann,Martin Kampmann,Jake Shields,29.0,102.0,1
6196,UFC 121: Lesnar vs Velasquez,Brock Lesnar vs. Cain Velasquez,Cain Velasquez,Brock Lesnar,52.0,86.0,0
6195,UFC 122: Marquardt vs Okami,Kris McCray vs. Carlos Eduardo Rocha,Carlos Eduardo Rocha,Kris McCray,-24.0,235.0,0
6194,UFC 122: Marquardt vs Okami,Seth Petruzelli vs. Karlos Vemola,Karlos Vemola,Seth Petruzelli,60.0,-350.0,0
6193,UFC 122: Marquardt vs Okami,Kyle Noke vs. Rob Kimmons,Rob Kimmons,Kyle Noke,-404.0,-303.0,1
6192,UFC 122: Marquardt vs Okami,Pascal Krauss vs. Mark Scanlon,Mark Scanlon,Pascal Krauss,291.0,-291.0,1
6191,UFC 122: Marquardt vs Okami,Vladimir Matyushenko vs. Alexandre Ferreira,Alexandre Ferreira,Vladimir Matyushenko,43.5,-11.0,1
6190,UFC 122: Marquardt vs Okami,Duane Ludwig vs. Nick Osipczak,Nick Osipczak,Duane Ludwig,-99.0,-618.5,1
6189,UFC 122: Marquardt vs Okami,Krzysztof Soszynski vs. Goran Reljic,Goran Reljic,Krzysztof Soszynski,-334.0,170.0,1
6188,UFC 122: Marquardt vs Okami,Amir Sadollah vs. Peter Sobotta,Peter Sobotta,Amir Sadollah,-478.0,545.0,1
6187,UFC 122: Marquardt vs Okami,Dennis Siver vs. Andre Winner,Andre Winner,Dennis Siver,2.0,-408.5,1
6186,UFC 122: Marquardt vs Okami,Nate Marquardt vs. Yushin Okami,Yushin Okami,Nate Marquardt,-209.5,-17.0,0
6185,UFC 123: Rampage vs Machida,Tyson Griffin vs. Nik Lentz,Nik Lentz,Tyson Griffin,-647.5,247.5,0
6184,UFC 123: Rampage vs Machida,Paul Kelly vs. TJ O'Brien,TJ O'Brien,Paul Kelly,252.5,135.0,1
6183,UFC 123: Rampage vs Machida,Mike Lullo vs. Edson Barboza,Edson Barboza,Mike Lullo,-302.0,302.0,0
6182,UFC 123: Rampage vs Machida,Karo Parisyan vs. Dennis Hallman,Dennis Hallman,Karo Parisyan,-651.0,5.0,0
6181,UFC 123: Rampage vs Machida,Aaron Simpson vs. Mark Munoz,Mark Munoz,Aaron Simpson,69.0,-160.5,0
6180,UFC 123: Rampage vs Machida,Matt Brown vs. Brian Foster,Brian Foster,Matt Brown,48.5,286.0,0
6179,UFC 123: Rampage vs Machida,George Sotiropoulos vs. Joe Lauzon,Joe Lauzon,George Sotiropoulos,194.0,192.0,1
6178,UFC 123: Rampage vs Machida,Phil Davis vs. Tim Boetsch,Tim Boetsch,Phil Davis,228.5,-118.5,1
6177,UFC 123: Rampage vs Machida,Gerald Harris vs. Maiquel Falcao,Maiquel Falcao,Gerald Harris,-96.5,6.0,0
6176,UFC 123: Rampage vs Machida,Matt Hughes vs. BJ Penn,BJ Penn,Matt Hughes,16.0,-203.5,0
6175,UFC 123: Rampage vs Machida,Quinton Jackson vs. Lyoto Machida,Lyoto Machida,Quinton Jackson,3.0,428.0,1
6174,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Rich Attonito vs. David Branch,David Branch,Rich Attonito,-118.0,-137.5,0
6173,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Fredson Paixao vs. Pablo Garza,Pablo Garza,Fredson Paixao,-1.0,1.0,0
6172,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Will Campuzano vs. Nick Pace,Nick Pace,Will Campuzano,-291.0,291.0,0
6171,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Sako Chivitchian vs. Kyle Watson,Kyle Watson,Sako Chivitchian,31.0,-31.0,0
6170,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Ian Loveland vs. Tyler Toner,Tyler Toner,Ian Loveland,382.0,-382.0,1
6169,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Cody McKenzie vs. Aaron Wilkinson,Aaron Wilkinson,Cody McKenzie,-12.0,12.0,1
6168,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Nam Phan vs. Leonard Garcia,Leonard Garcia,Nam Phan,105.0,-105.0,0
6167,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Johny Hendricks vs. Rick Story,Rick Story,Johny Hendricks,-228.0,-6.0,0
6166,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Kendall Grove vs. Demian Maia,Demian Maia,Kendall Grove,-231.0,231.5,0
6165,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Stephan Bonnar vs. Igor Pokrajac,Igor Pokrajac,Stephan Bonnar,135.0,4.0,1
6164,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Jonathan Brookins vs. Michael Johnson,Michael Johnson,Jonathan Brookins,512.0,-512.0,1
6163,UFC 124: St-Pierre vs Koscheck 2,Pat Audinwood vs. John Makdessi,John Makdessi,Pat Audinwood,-14.0,174.0,0
6162,UFC 124: St-Pierre vs Koscheck 2,TJ Grant vs. Ricardo Almeida,Ricardo Almeida,TJ Grant,61.5,279.5,0
